"Date","Price","Open","High","Low","Change %"
"Oct 03, 2014","110.93","111.99","112.11","110.75","-1.01%"
"Oct 06, 2014","112.22","110.88","112.39","110.80","1.17%"
"Oct 07, 2014","112.95","112.23","113.18","111.54","0.65%"
"Oct 08, 2014","113.25","112.92","113.51","112.45","0.26%"
"Oct 09, 2014","112.99","113.19","113.33","112.55","-0.23%"
"Oct 10, 2014","113.50","112.93","113.56","112.77","0.45%"
"Oct 13, 2014","114.32","113.50","114.43","113.46","0.72%"
"Oct 14, 2014","114.03","114.32","114.45","113.56","-0.25%"
"Oct 15, 2014","115.42","114.00","116.22","113.61","1.21%"
"Oct 16, 2014","115.18","115.37","116.10","114.94","-0.20%"
"Oct 17, 2014","113.28","115.14","115.29","113.16","-1.65%"
"Oct 20, 2014","112.50","113.15","113.21","111.76","-0.69%"
"Oct 21, 2014","112.15","112.48","112.93","111.85","-0.31%"
"Oct 22, 2014","112.11","112.07","112.60","111.82","-0.04%"
"Oct 23, 2014","111.39","112.09","112.53","111.23","-0.65%"
"Oct 24, 2014","111.56","111.33","111.96","111.27","0.15%"
"Oct 27, 2014","112.35","111.51","112.57","111.28","0.71%"
"Oct 28, 2014","112.53","112.32","113.11","111.97","0.16%"
"Oct 29, 2014","110.93","112.46","112.61","110.79","-1.41%"
"Oct 30, 2014","111.03","110.88","111.81","110.70","0.08%"
"Oct 31, 2014","107.59","110.97","111.08","107.39","-3.09%"
"Nov 03, 2014","106.16","107.40","107.57","105.97","-1.33%"
"Nov 04, 2014","106.58","106.13","106.98","106.11","0.40%"
"Nov 05, 2014","105.92","106.54","106.76","105.69","-0.62%"
"Nov 06, 2014","105.38","105.89","106.54","105.30","-0.51%"
"Nov 07, 2014","106.27","105.32","106.54","105.15","0.85%"
"Nov 10, 2014","105.80","106.31","106.69","105.71","-0.44%"
"Nov 11, 2014","105.42","105.77","106.11","105.06","-0.36%"
"Nov 12, 2014","105.63","105.34","106.17","105.15","0.20%"
"Nov 13, 2014","105.42","105.60","105.83","105.25","-0.20%"
"Nov 14, 2014","105.01","105.36","105.43","104.49","-0.38%"
"Nov 17, 2014","104.63","104.91","105.63","104.29","-0.37%"
"Nov 18, 2014","103.96","104.60","104.77","103.74","-0.64%"
"Nov 19, 2014","102.96","103.91","103.98","102.85","-0.96%"
"Nov 20, 2014","102.99","102.93","103.41","102.31","0.03%"
"Nov 21, 2014","103.12","102.93","103.64","102.67","0.13%"
"Nov 24, 2014","102.74","103.10","103.32","102.51","-0.37%"
"Nov 25, 2014","103.11","102.70","103.36","102.43","0.36%"
"Nov 26, 2014","103.42","103.05","103.68","103.03","0.30%"
"Nov 27, 2014","103.45","103.36","103.82","103.26","0.03%"
"Nov 28, 2014","102.86","103.44","103.50","102.69","-0.57%"
"Dec 01, 2014","103.65","102.75","104.11","102.53","0.77%"
"Dec 02, 2014","102.93","103.63","103.82","102.81","-0.70%"
