Date,Price,Open,High,Low
2016-04-26,118.58,118.64,119.48,118.34
2016-04-27,118.38,118.53,118.93,118.02
2016-04-28,121.96,118.3,122.26,117.64
2016-04-29,123.96,121.95,124.06,121.82
2016-05-02,123.86,123.95,124.21,123.32
2016-05-03,123.77,123.78,124.94,123.61
2016-05-04,123.74,123.7,124.64,122.61
2016-05-05,123.46,123.72,123.99,123.14
2016-05-06,123.61,123.44,124.42,123.22
2016-05-09,122.68,123.59,123.96,122.28
2016-05-10,121.61,122.59,123.11,121.46
2016-05-11,122.74,121.57,122.79,121.31
2016-05-12,121.97,122.65,122.92,121.49
2016-05-13,122.61,121.94,122.8,121.58
2016-05-16,122.01,122.61,122.78,121.88
2016-05-17,121.85,121.97,122.19,121.15
2016-05-18,121.5,121.79,122.5,121.36
2016-05-19,123.26,121.44,123.57,121.42
2016-05-20,123.54,123.2,123.82,122.9
2016-05-23,124.34,123.52,124.49,123.34
2016-05-24,124.46,124.3,125.32,123.99
2016-05-25,123.89,124.4,124.52,123.53
2016-05-26,123.93,123.87,124.77,123.4
2016-05-27,123.21,123.91,124.17,122.93
2016-05-30,122.79,122.96,123.17,122.36
2016-05-31,123.39,122.73,123.64,122.24
2016-06-01,124.69,123.31,125.28,123.23
2016-06-02,125.36,124.65,125.77,124.58
2016-06-03,127.59,125.31,127.61,124.62
2016-06-06,124.38,127.65,127.78,124.21
2016-06-07,123.6,124.34,124.81,122.9
2016-06-08,123.99,123.52,124.46,123.24
2016-06-09,123.86,123.91,124.82,123.6
2016-06-10,124.29,123.8,124.83,123.68
2016-06-13,124.98,124.31,125.84,124.31
2016-06-14,125.95,124.92,126.71,124.74
2016-06-15,126.14,125.84,126.77,125.62
2016-06-16,128.23,126.1,128.93,125.89
2016-06-17,128.1,128.16,128.38,127.36
2016-06-20,127.63,127.75,127.83,126.4
2016-06-21,126.62,127.56,128.03,126.2
2016-06-22,127.24,126.58,127.43,126.44
2016-06-23,124.89,127.18,127.43,124.76
2016-06-24,130.88,124.84,134.55,124.05
2016-06-27,130.78,130.97,133.03,130.11
2016-06-28,128.24,130.72,131.3,127.98
2016-06-29,128.0,128.14,129.02,127.77
2016-06-30,127.92,127.95,129.12,127.61
2016-07-01,128.16,127.84,128.48,127.53
2016-07-04,128.0,128.1,128.49,127.37
2016-07-05,129.05,127.72,129.41,127.66
2016-07-06,129.56,128.75,131.0,128.68
2016-07-07,130.25,129.27,130.54,129.15
2016-07-08,130.57,129.97,131.23,129.36
2016-07-11,127.32,130.35,130.46,127.09
2016-07-12,125.32,127.21,127.82,124.88
2016-07-13,125.32,125.26,126.07,124.8
